"package"	"afmfile"	"fontfile"	"FullName"	"FamilyName"	"FontName"	"Bold"	"Italic"	"Symbol"	"afmsymfile"
"1"	NA	"aakar-medium.afm.gz"	"/usr/share/fonts/truetype/fonts-gujr-extra/aakar-medium.ttf"	"aakar"	"aakar"	"aakar-medium"	FALSE	FALSE	FALSE	NA
"2"	NA	"AbyssinicaSIL-R.afm.gz"	"/usr/share/fonts/truetype/abyssinica/AbyssinicaSIL-R.ttf"	"Abyssinica SIL"	"Abyssinica SIL"	"AbyssinicaSIL"	FALSE	FALSE	FALSE	NA
"3"	NA	"ani.afm.gz"	"/usr/share/fonts/truetype/fonts-beng-extra/ani.ttf"	"Ani"	"Ani"	"Ani"	FALSE	FALSE	FALSE	NA
"4"	NA	"AnjaliOldLipi.afm.gz"	"/usr/share/fonts/truetype/malayalam/AnjaliOldLipi.ttf"	"AnjaliOldLipi"	"AnjaliOldLipi"	"AnjaliOldLipi"	FALSE	FALSE	FALSE	NA
"5"	NA	"Arimo-Regular.afm.gz"	"/usr/share/fonts/truetype/croscore/Arimo-Regular.ttf"	"Arimo"	"Arimo"	"Arimo"	FALSE	FALSE	FALSE	NA
"6"	NA	"Arimo-Bold.afm.gz"	"/usr/share/fonts/truetype/croscore/Arimo-Bold.ttf"	"Arimo Bold"	"Arimo"	"Arimo-Bold"	TRUE	FALSE	FALSE	NA
"7"	NA	"Arimo-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/croscore/Arimo-BoldItalic.ttf"	"Arimo Bold Italic"	"Arimo"	"Arimo-BoldItalic"	TRUE	TRUE	FALSE	NA
"8"	NA	"Arimo-Italic.afm.gz"	"/usr/share/fonts/truetype/croscore/Arimo-Italic.ttf"	"Arimo Italic"	"Arimo"	"Arimo-Italic"	FALSE	TRUE	FALSE	NA
"9"	NA	"Caladea-Bold.afm.gz"	"/usr/share/fonts/truetype/crosextra/Caladea-Bold.ttf"	"Caladea Bold"	"Caladea"	"Caladea-Bold"	TRUE	FALSE	FALSE	NA
"10"	NA	"Caladea-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/crosextra/Caladea-BoldItalic.ttf"	"Caladea Bold Italic"	"Caladea"	"Caladea-BoldItalic"	FALSE	TRUE	FALSE	NA
"11"	NA	"Caladea-Italic.afm.gz"	"/usr/share/fonts/truetype/crosextra/Caladea-Italic.ttf"	"Caladea Italic"	"Caladea"	"Caladea-Italic"	FALSE	TRUE	FALSE	NA
"12"	NA	"Caladea-Regular.afm.gz"	"/usr/share/fonts/truetype/crosextra/Caladea-Regular.ttf"	"Caladea"	"Caladea"	"Caladea-Regular"	FALSE	FALSE	FALSE	NA
"13"	NA	"Carlito-Regular.afm.gz"	"/usr/share/fonts/truetype/crosextra/Carlito-Regular.ttf"	"Carlito"	"Carlito"	"Carlito"	FALSE	FALSE	FALSE	NA
"14"	NA	"Carlito-Bold.afm.gz"	"/usr/share/fonts/truetype/crosextra/Carlito-Bold.ttf"	"Carlito Bold"	"Carlito"	"Carlito-Bold"	TRUE	FALSE	FALSE	NA
"15"	NA	"Carlito-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/crosextra/Carlito-BoldItalic.ttf"	"Carlito Bold Italic"	"Carlito"	"Carlito-BoldItalic"	TRUE	TRUE	FALSE	NA
"16"	NA	"Carlito-Italic.afm.gz"	"/usr/share/fonts/truetype/crosextra/Carlito-Italic.ttf"	"Carlito Italic"	"Carlito"	"Carlito-Italic"	FALSE	TRUE	FALSE	NA
"17"	NA	"chandas1-2.afm.gz"	"/usr/share/fonts/truetype/fonts-deva-extra/chandas1-2.ttf"	"Chandas"	"Chandas"	"Chandas"	FALSE	FALSE	FALSE	NA
"18"	NA	"Chilanka-Regular.afm.gz"	"/usr/share/fonts/truetype/malayalam/Chilanka-Regular.ttf"	"Chilanka Regular"	"Chilanka"	"Chilanka-Regular"	FALSE	FALSE	FALSE	NA
"19"	NA	"Comfortaa-Bold.afm.gz"	"/usr/share/fonts/truetype/comfortaa/Comfortaa-Bold.ttf"	"Comfortaa Bold"	"Comfortaa"	"Comfortaa-Bold"	TRUE	FALSE	FALSE	NA
"20"	NA	"Comfortaa-Light.afm.gz"	"/usr/share/fonts/truetype/comfortaa/Comfortaa-Light.ttf"	"Comfortaa Light"	"Comfortaa Light"	"Comfortaa-Light"	FALSE	FALSE	FALSE	NA
"21"	NA	"Comfortaa-Regular.afm.gz"	"/usr/share/fonts/truetype/comfortaa/Comfortaa-Regular.ttf"	"Comfortaa Regular"	"Comfortaa"	"Comfortaa-Regular"	FALSE	FALSE	FALSE	NA
"22"	NA	"Cousine-Regular.afm.gz"	"/usr/share/fonts/truetype/croscore/Cousine-Regular.ttf"	"Cousine"	"Cousine"	"Cousine"	FALSE	FALSE	FALSE	NA
"23"	NA	"Cousine-Bold.afm.gz"	"/usr/share/fonts/truetype/croscore/Cousine-Bold.ttf"	"Cousine Bold"	"Cousine"	"Cousine-Bold"	TRUE	FALSE	FALSE	NA
"24"	NA	"Cousine-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/croscore/Cousine-BoldItalic.ttf"	"Cousine Bold Italic"	"Cousine"	"Cousine-BoldItalic"	TRUE	TRUE	FALSE	NA
"25"	NA	"Cousine-Italic.afm.gz"	"/usr/share/fonts/truetype/croscore/Cousine-Italic.ttf"	"Cousine Italic"	"Cousine"	"Cousine-Italic"	FALSE	TRUE	FALSE	NA
"26"	NA	"DejaVuMathTeXGyre.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuMathTeXGyre.ttf"	"DejaVuMathTeXGyre-Regular"	"DejaVu Math TeX Gyre"	"DejaVuMathTeXGyre-Regular"	FALSE	FALSE	FALSE	NA
"27"	NA	"DejaVuSans.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSans.ttf"	"DejaVu Sans"	"DejaVu Sans"	"DejaVuSans"	FALSE	FALSE	FALSE	NA
"28"	NA	"DejaVuSans-Bold.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSans-Bold.ttf"	"DejaVu Sans Bold"	"DejaVu Sans"	"DejaVuSans-Bold"	TRUE	FALSE	FALSE	NA
"29"	NA	"DejaVuSans-BoldOblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSans-BoldOblique.ttf"	"DejaVu Sans Bold Oblique"	"DejaVu Sans"	"DejaVuSans-BoldOblique"	TRUE	TRUE	FALSE	NA
"30"	NA	"DejaVuSansCondensed.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansCondensed.ttf"	"DejaVu Sans Condensed"	"DejaVu Sans Condensed"	"DejaVuSansCondensed"	FALSE	FALSE	FALSE	NA
"31"	NA	"DejaVuSansCondensed-Bold.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansCondensed-Bold.ttf"	"DejaVu Sans Condensed Bold"	"DejaVu Sans Condensed"	"DejaVuSansCondensed-Bold"	TRUE	FALSE	FALSE	NA
"32"	NA	"DejaVuSansCondensed-BoldOblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansCondensed-BoldOblique.ttf"	"DejaVu Sans Condensed Bold Oblique"	"DejaVu Sans Condensed"	"DejaVuSansCondensed-BoldOblique"	TRUE	TRUE	FALSE	NA
"33"	NA	"DejaVuSansCondensed-Oblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansCondensed-Oblique.ttf"	"DejaVu Sans Condensed Oblique"	"DejaVu Sans Condensed"	"DejaVuSansCondensed-Oblique"	FALSE	TRUE	FALSE	NA
"34"	NA	"DejaVuSans-ExtraLight.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSans-ExtraLight.ttf"	"DejaVu Sans ExtraLight"	"DejaVu Sans Light"	"DejaVuSans-ExtraLight"	FALSE	FALSE	FALSE	NA
"35"	NA	"DejaVuSansMono.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansMono.ttf"	"DejaVu Sans Mono"	"DejaVu Sans Mono"	"DejaVuSansMono"	FALSE	FALSE	FALSE	NA
"36"	NA	"DejaVuSansMono-Bold.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansMono-Bold.ttf"	"DejaVu Sans Mono Bold"	"DejaVu Sans Mono"	"DejaVuSansMono-Bold"	TRUE	FALSE	FALSE	NA
"37"	NA	"DejaVuSansMono-BoldOblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansMono-BoldOblique.ttf"	"DejaVu Sans Mono Bold Oblique"	"DejaVu Sans Mono"	"DejaVuSansMono-BoldOblique"	TRUE	TRUE	FALSE	NA
"38"	NA	"DejaVuSansMono-Oblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansMono-Oblique.ttf"	"DejaVu Sans Mono Oblique"	"DejaVu Sans Mono"	"DejaVuSansMono-Oblique"	FALSE	TRUE	FALSE	NA
"39"	NA	"DejaVuSans-Oblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSans-Oblique.ttf"	"DejaVu Sans Oblique"	"DejaVu Sans"	"DejaVuSans-Oblique"	FALSE	TRUE	FALSE	NA
"40"	NA	"DejaVuSerif.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerif.ttf"	"DejaVu Serif"	"DejaVu Serif"	"DejaVuSerif"	FALSE	FALSE	FALSE	NA
"41"	NA	"DejaVuSerif-Bold.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerif-Bold.ttf"	"DejaVu Serif Bold"	"DejaVu Serif"	"DejaVuSerif-Bold"	TRUE	FALSE	FALSE	NA
"42"	NA	"DejaVuSerif-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerif-BoldItalic.ttf"	"DejaVu Serif Bold Italic"	"DejaVu Serif"	"DejaVuSerif-BoldItalic"	TRUE	TRUE	FALSE	NA
"43"	NA	"DejaVuSerifCondensed.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed.ttf"	"DejaVu Serif Condensed"	"DejaVu Serif Condensed"	"DejaVuSerifCondensed"	FALSE	FALSE	FALSE	NA
"44"	NA	"DejaVuSerifCondensed-Bold.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed-Bold.ttf"	"DejaVu Serif Condensed Bold"	"DejaVu Serif Condensed"	"DejaVuSerifCondensed-Bold"	TRUE	FALSE	FALSE	NA
